health_zone,lng,lat
Masiki Kalonge,29.40339,0.00194
Kamole,29.3831697,-0.0982462
Loutu,29.316667,-0.116667
Matenga,29.46113,-0.036968
Kivuwe,29.5108333,-0.0013889
Lukanga,29.3500001,-0.1500001
Bwalyana,29.390184,-0.100148
Bulambo,29.4000001,-0.2
Kaseya,29.325718,-0.026838
Ndalihya,29.5477776,-0.0741666
Kaliro Mangina,29.393665,-0.113519
Museya,29.5251109,-0.076638
Luhotu,29.34705,-0.0142
Kyasenda,29.5049999,-0.0511111
Mavono,29.396717,-0.070001
Vurondo,29.516395,-0.041106
Kaseghe,29.1760056,-0.489608
Mambia,29.1044722,0.3266111
Maboya,29.17651,0.1022
Kalengehya,29.6487506,0.1406763
Bituhe,29.26607,0.21067
Kamusonge,29.330417,0.175933
Mabingi Centre,29.27531,0.36656
Karongo,29.1885833,0.196
Kanyihunga Mambira,29.38876,0.26311
Lose,29.0475833,0.3831111
Makusa,29.2305276,0.2825001
Lughatika,29.2195,0.234583
Kalundu,29.1171667,0.3004167
Ndalihya,29.4402,0.0357833
Katambi,29.1988611,0.1484722
Ngazi,29.1580878,0.4171877
Makungwe,29.4713917,0.152525
Ngango,29.1759001,0.1987501
Kikyo,29.31035,0.166383
Malio,29.39604,0.26733
Musenge,29.1272222,0.2584444
Makumo,29.1186111,0.2950917
Lumba,29.0395556,0.3424167
Visiki,29.23398,0.38391
Kasaka,29.648179,0.1629895
Vusamba,29.16571,0.02376
Pombi,29.0923611,0.3378333
Kinihya,29.4305501,0.0904167
Misebere Ya Katumba,29.241683,0.230183
Misebere,29.245267,0.237483
Musasa,29.13287,-0.0813
Manzeku,29.0596944,0.2330278
Ngubi,29.1286111,0.2935556
Vwikya,29.5186111,0.1930556
Malende,29.22994,0.12369
Itendi,29.0328056,0.2545556
Lubro,29.2483328,0.145
Mukondo,29.308817,0.149783
Vusegheseghe,29.309417,0.157683
Kivungha,29.14794,0.08225
Mundiba,29.3079499,0.3085332
Kisitu,29.32,0.157883
Kisesa,29.2097279,0.1989972
Kalengere,29.3222,0.1472
Ndiba,29.2203889,0.300389
Mashua,29.1821112,0.3540279
Vunzuli,29.122,0.2531944
Mihanga,29.1008889,0.2671667
Ngongi,29.112953,0.067353
Bulambo,29.42054,0.20381
Kivombo,29.4691666,0.1925
Ngundi,29.2126388,0.3084166
Leproserie,29.316983,0.0925
Vuvo,29.1190833,0.20025
Kamirihi,29.0908333,0.2865556
Vunyondo,29.3071334,0.3161666
Vukoka,29.2091944,0.2890834
Mutitiro,29.248633,0.243617
Kitamyaka,29.4969445,0.1899999
Vuyinga,29.05104,0.06038
Kalenguko,29.0128889,0.2655278
Mbungwe,29.4604,0.0664
Vingyo,29.0497222,0.2176667
Tako,29.4347221,0.1088888
Kaniyi,29.1304444,0.2721944
Migheri,29.1744832,0.2114001
Bwalengire,29.16135,-0.05063
Tutu,29.2908334,0.3595
Luvika,29.0813611,0.2266111
Buma Malepe,29.2196945,0.3045555
Lukomo,29.4358333,0.06575
Lukono,29.475,0.3125
Mabambi,29.12427,0.07434
Kitolu Mbilinga,29.2200001,0.3505
Kitongote,29.6421259,0.1142712
Kitowa,29.1885833,0.2026334
Kitulu,29.0497778,0.2484167
Maghombi,29.2390834,0.3065278
Mabami,29.1155558,-0.0694439
Kikyo,29.17623,-0.0521
Manzabya,29.1350556,0.2551111
Mambombo Masangi,29.2043887,0.4098056
Beme,29.1728056,0.1688917
Runzai,29.1724445,0.4159444
Kiragho,29.1731944,0.1680278
Ivatama,29.3229,0.151167
Mambango,29.4132552,0.4878861
Kalundu,29.08437,0.07301
Vulima,29.1143056,0.265
Kivombo,29.4668167,0.05855
Kivetia,29.31643,0.20917
Vuhira,29.319433,0.160933
Kasese,29.2876387,0.3716944
Kanyatsi-Irangi,29.2720556,0.2841667
Vurondo Centre,29.1666668,0.2666671
Mukohwa,29.1572778,0.2461111
Bitumbi,29.09705,0.06648
Vupereghe,29.0616389,0.2571389
Buyiga,29.06453,0.04142
Bulengera,29.335167,0.144733
Magheria,29.4552833,0.0351833
Vusumba,29.2992332,0.2866501
Musalala,29.4404833,0.05195
Misugho Centre,29.1666668,0.2
Isale-Bulambo,29.35764,0.19414
Mambena,29.2255279,0.4183055
Mambasa,29.0648889,0.2736111
Kaseghe,29.2821833,0.3267166
Vukembe,29.2348332,0.2913056
Mukoku,29.6568882,0.1715524
Ndavakwa,29.2018611,0.1249722
Vulambayiri,29.2452221,0.3690277
Muhangi,29.09535,0.03389
Mwiri,29.32535,0.149067
Masiki Kalonge,29.27196,0.21146
Kitongote,29.4604833,0.05395
Kanimba,29.2076388,0.2989166
Karongo,29.1668832,0.1909334
Maboya,29.33922,0.28002
Mangimu,29.0248333,0.2552222
Mapata,29.2729717,0.4426891
Kyavisogho,29.2477666,0.32195
Katwikira,29.311283,0.149467
Vuhesi,29.061913,0.031031
Mambengi,29.29815,0.32453
Kivisire,29.299733,0.1523
Nzalihwa,29.0788889,0.2011389
Chavisale,29.4287,0.22931
Kivinduliro,29.2931665,0.3586944
Miriki,29.13406,-0.07867
Kyondo,29.1666668,-0.05
Mabuku,29.3044723,0.3216389
Lubana,29.1031389,0.2264167
Ngere,29.09225,0.3324722
Kivugha,29.16376,0.09423
